YHOO,AAPL
"((39.173333666666657, 38.143333444444451, 38.61333333333333, 38.687777555555556), (38.189999, 36.450001, 37.599998, 36.689999, '2014-03-14'))","((534.07000733333325, 527.65665766666666, 531.37887911111113, 530.73555322222228), (530.890015, 523.000008, 524.68998, 528.789993, '2014-03-14'))"
"((39.066666666666663, 37.986666777777778, 38.45333355555556, 38.632221999999999), (39.360001, 38.610001, 39.110001, 39.0, '2014-03-17'))","((534.83778633333338, 528.43888000000004, 531.86888288888895, 531.66444555555563), (529.969994, 525.850006, 526.740013, 527.699982, '2014-03-17'))"
"((39.01444433333333, 37.877777999999999, 38.381111111111103, 38.525554999999997), (39.509998, 38.799999, 39.450001, 39.0, '2014-03-18'))","((534.86445366666658, 528.45999311111109, 531.5277684444444, 532.26111244444451), (531.969986, 525.200005, 531.399986, 525.899994, '2014-03-18'))"
"((38.966666555555555, 37.870000333333337, 38.323333333333331, 38.552221888888894), (39.939999, 38.509998, 38.610001, 39.66, '2014-03-19'))","((534.56778466666674, 528.24666077777772, 531.02777177777773, 531.89444633333324), (536.23999, 528.999985, 531.26001, 532.259979, '2014-03-19'))"
"((38.895554999999995, 37.826667, 38.317777888888884, 38.459999444444442), (38.470001, 37.419998, 37.77, 38.369999, '2014-03-20'))","((534.25889166666661, 527.80999755555558, 530.92110266666668, 531.33667066666669), (532.669975, 527.350014, 528.700005, 529.889992, '2014-03-20'))"
"((38.891110444444443, 37.716666777777775, 38.20111133333333, 38.466666333333336), (38.27, 37.73, 37.939999, 38.099998, '2014-03-21'))","((534.45889033333333, 527.90999688888894, 530.97777211111111, 531.27778188888885), (533.75, 526.330017, 532.86998, 531.929985, '2014-03-21'))"
"((38.73111055555556, 37.602222000000005, 38.097777888888885, 38.317777444444445), (38.040001, 36.279999, 36.68, 38.0, '2014-03-24'))","((534.53555133333327, 528.05444166666666, 530.78443733333324, 531.14444555555565), (540.500008, 535.05999, 539.190018, 538.420013, '2014-03-24'))"
"((38.674443999999994, 37.582222000000002, 38.085555666666664, 38.258888222222225), (37.07, 35.860001, 35.93, 37.0, '2014-03-25'))","((534.58221611111105, 527.83111066666663, 531.00110455555568, 531.54110799999989), (545.750008, 539.589973, 544.98999, 541.499977, '2014-03-25'))"
"((38.645555333333334, 37.454444111111101, 37.987777777777779, 38.231110444444447), (36.740002, 35.450001, 35.450001, 36.240002, '2014-03-26'))","((534.77777022222222, 528.10555699999998, 531.34555399999999, 531.87110811111097), (549.000015, 538.860023, 539.779991, 546.520012, '2014-03-26'))"
"((38.585555222222219, 37.385555333333336, 37.813333333333333, 38.207777222222226), (36.150002, 35.049999, 35.59, 35.5, '2014-03-27'))","((535.711107111111, 528.94888733333335, 532.27666566666676, 532.64777033333348), (541.499977, 535.120018, 537.459991, 540.019997, '2014-03-27'))"
"((38.398889000000004, 37.234444222222216, 37.615555666666666, 38.006666444444448), (36.73, 35.529999, 35.900002, 35.77, '2014-03-28'))","((536.74888788888882, 530.02666900000008, 533.29110811111116, 533.65665855555551), (538.940025, 534.249985, 536.859978, 538.319984, '2014-03-28'))"
"((38.172222666666663, 37.078888444444445, 37.392222555555549, 37.874444333333336), (36.580002, 35.73, 35.900002, 36.459999, '2014-03-31'))","((537.92777255555541, 531.37333677777781, 534.70999822222211, 534.90443677777785), (540.809975, 535.930023, 536.739975, 539.230019, '2014-03-31'))"
"((37.880000333333335, 36.736665999999992, 37.035556000000007, 37.515555444444445), (36.860001, 36.150002, 36.490002, 36.16, '2014-04-01'))","((538.92444266666666, 532.30666777777776, 535.8344387777779, 536.08443699999998), (541.870026, 536.769989, 541.649994, 537.760025, '2014-04-01'))"
"((37.554445222222213, 36.395555000000002, 36.64111166666666, 37.233333111111108), (36.860001, 36.560001, 36.639999, 36.68, '2014-04-02'))","((539.90666366666665, 533.49889199999996, 536.42777088888886, 537.56555088888888), (543.479996, 540.260002, 542.549988, 542.379997, '2014-04-02'))"
"((37.212223222222228, 36.133333222222213, 36.405556222222224, 36.844444222222222), (36.790001, 35.509998, 35.759998, 36.66, '2014-04-03'))","((540.53222322222223, 534.36222577777778, 537.58221355555565, 538.1766671111111), (542.5, 537.640022, 538.790009, 541.390015, '2014-04-03'))"
"((37.033334333333329, 36.037777999999996, 36.280000555555553, 36.65666655555556), (36.049999, 33.830002, 34.259998, 36.009998, '2014-04-04'))","((541.73333666666667, 535.79666888888892, 539.12110055555559, 539.56444544444446), (540.000023, 530.579994, 531.820023, 539.810005, '2014-04-04'))"
"((36.868889999999993, 35.791111111111114, 36.037778222222222, 36.496666777777783), (34.369999, 32.529999, 33.07, 34.110001, '2014-04-07'))","((542.70555888888885, 537.05333611111098, 539.77888155555559, 540.61555988888881), (530.900002, 521.890022, 523.469978, 528.019989, '2014-04-07'))"
"((36.64777866666666, 35.518889222222214, 35.768889111111115, 36.27555544444445), (34.43, 33.02, 33.830002, 33.099998, '2014-04-08'))","((542.65000500000008, 536.55555877777761, 538.95999322222224, 540.77000344444457), (526.120026, 518.699989, 523.440018, 525.190018, '2014-04-08'))"
"((36.34777855555555, 35.148888999999997, 35.45111133333333, 35.954444444444448), (35.0, 33.950001, 34.869999, 34.189999, '2014-04-09'))","((541.00000433333344, 534.5888975555556, 536.56888077777785, 539.27222699999993), (530.490005, 522.020012, 530.320015, 522.639999, '2014-04-09'))"
"((36.091111666666663, 34.878888888888888, 35.271111444444443, 35.605555111111116), (34.98, 33.09, 33.400002, 34.880001, '2014-04-10'))","((538.45778333333328, 532.3488937777779, 534.75332822222231, 536.9022276666667), (532.240005, 523.169998, 523.480019, 530.680023, '2014-04-10'))"
"((35.963333666666664, 34.756666888888887, 35.191111333333339, 35.459999444444442), (33.48, 32.150002, 32.869999, 32.639999, '2014-04-11'))","((537.23445311111107, 530.8933375555556, 533.95999755555556, 534.97111677777775), (522.830017, 517.140007, 519.610023, 519.000023, '2014-04-11'))"
"((35.768889222222221, 34.485555888888889, 34.91333355555556, 35.361110666666669), (34.040001, 33.040001, 33.450001, 33.549999, '2014-04-14'))","((536.49000644444436, 529.66222788888888, 532.47333544444439, 534.12223222222224), (522.159988, 517.210022, 521.679977, 521.900009, '2014-04-14'))"
"((35.424444555555553, 34.087778333333326, 34.576666555555555, 34.936666222222215), (34.279999, 32.639999, 34.209999, 33.93, '2014-04-15'))","((534.49223333333339, 527.57444833333329, 530.5700074444444, 531.87445488888886), (521.639977, 511.329994, 517.959999, 520.270012, '2014-04-15'))"
"((35.11111122222222, 33.742222666666663, 34.238888666666668, 34.646666111111109), (37.299999, 35.810001, 36.349998, 36.98, '2014-04-16'))","((532.30222911111116, 525.40111866666678, 528.3511166666666, 530.11223088888892), (521.090004, 514.139992, 519.01001, 518.049988, '2014-04-16'))"
"((34.824444333333332, 33.306666888888884, 33.968888666666665, 34.341110555555559), (36.599998, 35.549999, 36.380001, 36.290001, '2014-04-17'))","((529.8755603333334, 522.18667333333326, 525.61889566666662, 527.65556588888876), (527.76001, 519.199974, 524.940025, 519.999992, '2014-04-17'))"
"((34.881110777777778, 33.340000555555555, 34.034444222222227, 34.376666111111113), (36.650002, 35.889999, 36.400002, 36.599998, '2014-04-21'))","((527.49667188888884, 519.57555888888885, 523.42111799999998, 525.0622295555554), (532.139977, 523.959976, 531.170021, 525.339981, '2014-04-21'))"
"((34.942221777777767, 33.531111333333335, 34.270000111111109, 34.407777555555555), (36.849998, 36.110001, 36.139999, 36.709999, '2014-04-22'))","((526.13667044444446, 518.31111222222216, 522.65667377777777, 522.86111700000004), (531.830009, 526.500008, 531.70002, 528.309982, '2014-04-22'))"
"((35.195555444444445, 33.904444666666663, 34.640000333333333, 34.684443888888886), (36.189999, 35.400002, 35.439999, 36.080002, '2014-04-23'))","((526.27444544444438, 518.54110711111105, 523.51223411111107, 522.56333833333326), (531.13002, 524.449974, 524.750008, 529.060013, '2014-04-23'))"
